3cpio	0.14.0-1ubuntu1
libpam0g:amd64	1.7.0-5ubuntu3.1
libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libpangomm-1.4-1v5:amd64	2.46.4-2
libpangomm-2.48-1t64:amd64	2.56.1-2
libpangoxft-1.0-0:amd64	1.57.0-1
libpaper-utils	2.2.5-0.3maysync1
libpaper2:amd64	2.2.5-0.3maysync1
libparted2t64:amd64	3.6-6
libpci3:amd64	1:3.14.0-1build2
libpciaccess-dev:amd64	0.18.1-1ubuntu4
libpciaccess0:amd64	0.18.1-1ubuntu4
libpcre2-16-0:amd64	10.46-1build1
libpcre2-32-0:amd64	10.46-1build1
libpcre2-8-0:amd64	10.46-1build1
libpcre2-dev:amd64	10.46-1build1
libpcre2-posix3:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build2
libpipeline1:amd64	1.5.8-2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-common	1.6.2-1ubuntu1.1
libpipewire-0.3-dev:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-modules:amd64	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libpkgconf7:amd64	2.5.1-4
libplacebo360:amd64	7.360.0-3
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpopt0:amd64	1.19+dfsg-2build1
libportmidi2:amd64	2:2.0.8-1
libproc-processtable-perl:amd64	0.637-1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproxy1v5:amd64	0.5.12-1
libpsl5t64:amd64	0.21.2-1.1build2
libpulse-dev:amd64	1:17.0+dfsg1-2ubuntu4
libpulse-mainloop-glib0:amd64	1:17.0+dfsg1-2ubuntu4
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpulsedsp:amd64	1:17.0+dfsg1-2ubuntu4
libpython3-dev:amd64	3.14.3-0ubuntu2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14:amd64	3.14.4-1ubuntu0.1
libpython3.14-dev:amd64	3.14.4-1ubuntu0.1
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.1
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.1
libqt6core6t64:amd64	6.10.2+dfsg-7
libqt6dbus6:amd64	6.10.2+dfsg-7
libqt6gui6:amd64	6.10.2+dfsg-7
libqt6network6:amd64	6.10.2+dfsg-7
libqt6opengl6:amd64	6.10.2+dfsg-7
libqt6qml6:amd64	6.10.2+dfsg-3
libqt6qmlmeta6:amd64	6.10.2+dfsg-3
libqt6qmlmodels6:amd64	6.10.2+dfsg-3
libqt6qmlworkerscript6:amd64	6.10.2+dfsg-3
libqt6quick6:amd64	6.10.2+dfsg-3
libqt6svg6:amd64	6.10.2-2
libqt6waylandclient6:amd64	6.10.2+dfsg-7
libqt6waylandcompositor6:amd64	6.10.2-4
libqt6widgets6:amd64	6.10.2+dfsg-7
libqt6wlshellintegration6:amd64	6.10.2+dfsg-7
libqt6xml6:amd64	6.10.2+dfsg-7
libquadmath0:amd64	16-20260322-1ubuntu1
librabbitmq4:amd64	0.15.0-1ubuntu0.26.04.1
librav1e0.8:amd64	0.8.1-7
libraw1394-11:amd64	2.1.2-2build4
libraw23t64:amd64	0.21.5b-1ubuntu1.1
libreadline8t64:amd64	8.3-4
librhash1:amd64	1.4.6-1.1
librist4:amd64	0.2.11+dfsg-1build1
libroc0.4:amd64	0.4.0+dfsg-5ubuntu3.1
librsvg2-2:amd64	2.61.3+dfsg-3
librsvg2-common:amd64	2.61.3+dfsg-3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
librubberband3:amd64	4.0.0+dfsg-2ubuntu1
libsamplerate0:amd64	0.2.2-4build2
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libsbc1:amd64	2.1-1build1
libsdl2-2.0-0:amd64	2.32.10+dfsg-6
libsdl2-classic:amd64	2.32.10+dfsg-6
libsdl2-image-2.0-0:amd64	2.8.8+dfsg-2
libsdl2-mixer-2.0-0:amd64	2.8.1+dfsg-5
libsdl2-ttf-2.0-0:amd64	2.24.0+dfsg-3
libsdl3-0:amd64	3.4.2+ds-1ubuntu1
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux-dev:amd64	3.9-4build1
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5:amd64	1:3.6.2-2build1
libsepol-dev:amd64	3.9-2
libsepol2:amd64	3.9-2
libserd-0-0:amd64	0.32.6-1
libserialport-dev:amd64	0.1.2-1build1
libserialport0:amd64	0.1.2-1build1
libset-scalar-perl	1.29-3
libsframe3:amd64	2.46-3ubuntu2
libsgutils2-1.48:amd64	1.48-3ubuntu3.1
libsharpyuv0:amd64	1.5.0-0.1build1
libshine3:amd64	3.1.1-3build1
libsigc++-2.0-0v5:amd64	2.12.1-4build1
libsigc++-3.0-0:amd64	3.6.0-2build1
libslang2:amd64	2.3.3-5build1
libsm6:amd64	2:1.2.6-1build1
libsmartcols1:amd64	2.41.3-3ubuntu2
libsmbclient0:amd64	2:4.23.6+dfsg-1ubuntu2.2
libsnapd-glib-2-1:amd64	1.72-0ubuntu3
libsnappy1v5:amd64	1.2.2-2
libsndfile1:amd64	1.2.2-4
libsodium23:amd64	1.0.18-2
libsord-0-0:amd64	0.16.20-1
libsort-naturally-perl	1.03-4
libsoup-3.0-0:amd64	3.6.6-1
libsoup-3.0-common	3.6.6-1
libsource-highlight-common	3.1.9-4.3build2
libsource-highlight4t64:amd64	3.1.9-4.3build2
libsoxr0:amd64	0.1.3-4.1
libspa-0.2-bluetooth:amd64	1.6.2-1ubuntu1.1
libspa-0.2-dev:amd64	1.6.2-1ubuntu1.1
libspa-0.2-modules:amd64	1.6.2-1ubuntu1.1
libspectre1:amd64	0.2.12-2
libspeex1:amd64	1.2.1-3build1
libspeexdsp1:amd64	1.2.1-3build1
libsqlite3-0:amd64	3.46.1-9ubuntu0.2
libsratom-0-0:amd64	0.6.20-1
libsrt1.5-gnutls:amd64	1.5.4-3
libss2:amd64	1.47.2-3ubuntu4
libssh-4:amd64	0.11.3-1ubuntu1
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.3
libssl3t64:amd64	3.5.5-1ubuntu3.3
libstartup-notification0:amd64	0.12-8build1
libstdc++-15-dev:amd64	15.2.0-16ubuntu1
libstdc++6:amd64	16-20260322-1ubuntu1
libstemmer0d:amd64	3.0.1-1
libsvtav1enc2:amd64	2.3.0+dfsg-1build1
libswresample-dev:amd64	7:8.0.1-3ubuntu2
libswresample6:amd64	7:8.0.1-3ubuntu2
libswscale-dev:amd64	7:8.0.1-3ubuntu2
libswscale9:amd64	7:8.0.1-3ubuntu2
libsysprof-capture-4-dev:amd64	50.0-1
libsystemd-shared:amd64	259.5-0ubuntu3.4
libsystemd0:amd64	259.5-0ubuntu3.4
libtalloc2:amd64	2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
libtasn1-6:amd64	4.21.0-2
libtdb1:amd64	2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
libteamdctl0:amd64	1.31-1build4
libterm-readkey-perl	2.38-2build5
libtevent0t64:amd64	2:0.17.1+samba4.23.6+dfsg-1ubuntu2.2
libtext-charwidth-perl:amd64	0.04-11build4
libtext-iconv-perl:amd64	1.7-8.1
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.30-1
libthai0:amd64	0.1.30-1
libtheoradec2:amd64	1.2.0+dfsg-6
libtheoraenc2:amd64	1.2.0+dfsg-6
libtie-ixhash-perl	1.23-4
libtiff6:amd64	4.7.0-3ubuntu4
libtimedate-perl	2.3300-2
libtinfo6:amd64	6.6+20251231-1
libtirpc-common	1.3.7-0.1
libtirpc3t64:amd64	1.3.7-0.1
libtool	2.5.4-9
libtraceevent1:amd64	1:1.8.7-1
libtry-tiny-perl	0.32-1
libts0t64:amd64	1.22-1.1build2
libtsan2:amd64	16-20260322-1ubuntu1
libtwolame0:amd64	0.4.0-2build4
libubsan1:amd64	16-20260322-1ubuntu1
libuchardet0:amd64	0.0.8-2
libudev-dev:amd64	259.5-0ubuntu3.4
libudev1:amd64	259.5-0ubuntu3.4
libudfread3:amd64	1.2.0-2
libunibreak6:amd64	6.1-3build1
libunistring5:amd64	1.3-2build1
libunwind8:amd64	1.8.3-0ubuntu1
libupower-glib3:amd64	1.91.1-1
liburcu8t64:amd64	0.15.6-1
liburi-perl	5.34-2build1
libusb-1.0-0:amd64	2:1.0.29-2build1
libusb-1.0-0-dev:amd64	2:1.0.29-2build1
libusb-1.0-doc	2:1.0.29-2build1
libusbmuxd-2.0-7:amd64	2.1.1-1
libutempter0:amd64	1.2.1-4build1
libuuid1:amd64	2.41.3-3ubuntu2
libuv1t64:amd64	1.51.0-2ubuntu1
libva-dev:amd64	2.23.0-1ubuntu1
libva-drm2:amd64	2.23.0-1ubuntu1
libva-glx2:amd64	2.23.0-1ubuntu1
libva-wayland2:amd64	2.23.0-1ubuntu1
libva-x11-2:amd64	2.23.0-1ubuntu1
libva2:amd64	2.23.0-1ubuntu1
libvdpau1:amd64	1.5-4
libvidstab1.1:amd64	1.1.0-2.1
libvisual-0.4-0:amd64	0.4.2-4
libvorbis0a:amd64	1.3.7-3build2
libvorbisenc2:amd64	1.3.7-3build2
libvorbisfile3:amd64	1.3.7-3build2
libvpl2	1:2.16.0-1
libvpx12:amd64	1.16.0-3
libvulkan-dev:amd64	1.4.341.0-1
libvulkan1:amd64	1.4.341.0-1
libwacom-common	2.18.0-1
libwacom9:amd64	2.18.0-1
libwayland-bin	1.24.0-2
libwayland-client0:amd64	1.24.0-2
libwayland-cursor0:amd64	1.24.0-2
libwayland-dev:amd64	1.24.0-2
libwayland-egl-backend-dev:amd64	1.24.0-2
libwayland-egl1:amd64	1.24.0-2
libwayland-server0:amd64	1.24.0-2
libwbclient0:amd64	2:4.23.6+dfsg-1ubuntu2.2
libwebp7:amd64	1.5.0-0.1build1
libwebpdemux2:amd64	1.5.0-0.1build1
libwebpmux3:amd64	1.5.0-0.1build1
libwebrtc-audio-processing-1-3:amd64	1.3-3build2
libwebsockets-evlib-uv:amd64	4.3.5-3ubuntu1
libwebsockets19t64:amd64	4.3.5-3ubuntu1
libwireplumber-0.5-0:amd64	0.5.13-1ubuntu1
libwmflite-0.2-7:amd64	0.2.14-1
libwrap0:amd64	7.6.q-36build2
libwww-perl	6.81-1ubuntu0.1
libwww-robotrules-perl	6.02-1build1
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libx11-dev:amd64	2:1.8.13-1
libx11-protocol-perl	0.56-9
libx11-xcb1:amd64	2:1.8.13-1
libx264-165:amd64	2:0.165.3222+gitb35605ac-3build1
libx265-215:amd64	4.1-4
libxau-dev:amd64	1:1.0.11-1build2
libxau6:amd64	1:1.0.11-1build2
libxaw7:amd64	2:1.0.16-1build1
libxcb-cursor0:amd64	0.1.6-1
libxcb-damage0:amd64	1.17.0-2ubuntu1
libxcb-dri2-0:amd64	1.17.0-2ubuntu1
libxcb-dri3-0:amd64	1.17.0-2ubuntu1
libxcb-glx0:amd64	1.17.0-2ubuntu1
libxcb-icccm4:amd64	0.4.2-1build1
libxcb-image0:amd64	0.4.0-2build2
libxcb-keysyms1:amd64	0.4.1-1build1
libxcb-present0:amd64	1.17.0-2ubuntu1
libxcb-randr0:amd64	1.17.0-2ubuntu1
libxcb-render-util0:amd64	0.3.10-1build1
libxcb-render0:amd64	1.17.0-2ubuntu1
libxcb-shape0:amd64	1.17.0-2ubuntu1
libxcb-shm0:amd64	1.17.0-2ubuntu1
libxcb-sync1:amd64	1.17.0-2ubuntu1
libxcb-util1:amd64	0.4.1-1build1
libxcb-xfixes0:amd64	1.17.0-2ubuntu1
libxcb-xinput0:amd64	1.17.0-2ubuntu1
libxcb-xkb1:amd64	1.17.0-2ubuntu1
libxcb1:amd64	1.17.0-2ubuntu1
libxcb1-dev:amd64	1.17.0-2ubuntu1
libxcomposite-dev:amd64	1:0.4.6-1build1
libxcomposite1:amd64	1:0.4.6-1build1
libxcursor-dev:amd64	1:1.2.3-1build1
libxcursor1:amd64	1:1.2.3-1build1
libxcvt0:amd64	0.1.3-1build1
libxdamage-dev:amd64	1:1.1.7-1
libxdamage1:amd64	1:1.1.7-1
libxdmcp-dev:amd64	1:1.1.5-2
libxdmcp6:amd64	1:1.1.5-2
libxdo3:amd64	1:3.20160805.1-5.1build1
libxext-dev:amd64	2:1.3.4-1build3
libxext6:amd64	2:1.3.4-1build3
libxfixes-dev:amd64	1:6.0.0-2build2
libxfixes3:amd64	1:6.0.0-2build2
libxfont2:amd64	1:2.0.6-2ubuntu0.2
libxft2:amd64	2.3.6-1build2
libxi-dev:amd64	2:1.8.2-2
libxi6:amd64	2:1.8.2-2
libxinerama1:amd64	2:1.1.4-3build2
libxkbcommon-dev:amd64	1.13.1-1
libxkbcommon-x11-0:amd64	1.13.1-1
libxkbcommon0:amd64	1.13.1-1
libxkbfile1:amd64	1:1.1.0-1build5
libxklavier16:amd64	5.4-6build1
libxml-parser-perl	2.47-1ubuntu1
libxml-twig-perl	1:3.54-1build1
libxml-xpathengine-perl	0.14-2
libxml2-16:amd64	2.15.2+dfsg-0.1ubuntu0.1
libxmlb2:amd64	0.3.24-2
libxmp4:amd64	4.6.3-1
libxmu6:amd64	2:1.1.3-4
libxmuu1:amd64	2:1.1.3-4
libxnvctrl0:amd64	510.47.03-0ubuntu7
libxpm4:amd64	1:3.5.17-1ubuntu0.26.04.1
libxrandr-dev:amd64	2:1.5.4-1build1
libxrandr2:amd64	2:1.5.4-1build1
libxrender-dev:amd64	1:0.9.12-1build1
libxrender1:amd64	1:0.9.12-1build1
libxres1:amd64	2:1.2.1-1build2
libxshmfence1:amd64	1.3.3-1build1
libxss-dev:amd64	1:1.2.3-1build4
libxss1:amd64	1:1.2.3-1build4
libxt6t64:amd64	1:1.2.1-1.3build1
libxtables12:amd64	1.8.11-2ubuntu3
libxtst-dev:amd64	2:1.2.5-1build1
libxtst6:amd64	2:1.2.5-1build1
libxv1:amd64	2:1.0.13-1
libxvidcore4:amd64	2:1.3.7-3
libxvmc1:amd64	2:1.0.12-2build4
libxxf86dga1:amd64	2:1.1.5-1build2
libxxf86vm1:amd64	1:1.1.4-2
libxxhash0:amd64	0.8.3-2build1
libyaml-0-2:amd64	0.2.5-2build3
libzimg2:amd64	3.0.6+ds1-1
libzix-0-0:amd64	0.8.0-1
libzmq5:amd64	4.3.5-1build3
libzstd1:amd64	1.5.7+dfsg-3
libzvbi-common	0.2.44-1ubuntu2
libzvbi0t64:amd64	0.2.44-1ubuntu2
lightdm	1.32.0-6ubuntu4
lightdm-gtk-greeter	2.0.9-0ubuntu3.1
linux-base	4.15ubuntu5
linux-firmware	20260319.git217ca6e4.1ubuntu
linux-firmware-amd-graphics	20260319.git217ca6e4-0ubuntu3
linux-firmware-amd-misc	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-broadcom-wireless	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-intel-graphics	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-intel-misc	20260319.git217ca6e4-0ubuntu1
linux-firmware-intel-wireless	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-marvell-prestera	20260319.git217ca6e4-0ubuntu1
linux-firmware-marvell-wireless	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-mediatek	20260319.git217ca6e4-0ubuntu1
linux-firmware-mellanox-spectrum	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-misc	20260319.git217ca6e4-0ubuntu2
linux-firmware-netronome	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-nvidia-graphics	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qlogic	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qualcomm-graphics	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qualcomm-misc	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-qualcomm-wireless	20260319.git217ca6e4-0ubuntu1
linux-firmware-realtek	20260319.git217ca6e4-0ubuntu1.2
linux-generic	7.0.0-29.29
linux-headers-generic	7.0.0-29.29
linux-image-generic	7.0.0-29.29
linux-libc-dev:amd64	7.0.0-29.29
linux-perf	7.0.0-29.29
linux-sysctl-defaults	4.15ubuntu5
linux-tools-common	7.0.0-29.29
lm-sensors	1:3.6.2-2build1
locales	2.43-2ubuntu2.3
login	1:4.16.0-2+really2.41.3-3ubuntu2
login.defs	1:4.17.4-2ubuntu3
logsave	1.47.2-3ubuntu4
lrzsz	0.12.21rc-0.3
lsb-base	11.6build1
lsb-release	12.1-2build1
lshw	02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3
lto-disabled-list	79
luit	2.0.20250912-1
lvm2	2.03.31-2ubuntu3
lxd-installer	14ubuntu0
m4	1.4.21-1
make	4.4.1-3
makedumpfile	1:1.7.7-1
man-db	2.13.1-1build1
manpages	6.17-1
manpages-dev	6.17-1
mawk	1.3.4.20260129-1
mdadm	4.5-5ubuntu1
media-types	14.0.0build1
menu	2.1.51build1
mesa-libgallium:amd64	26.0.3-1ubuntu1
mesa-utils	9.0.0-2build1
mesa-utils-bin:amd64	9.0.0-2build1
mesa-vulkan-drivers:amd64	26.0.3-1ubuntu1
meson	1.10.1-1ubuntu2
minicom	2.10-1ubuntu1
mokutil	0.7.2-2
mount	2.41.3-3ubuntu2
mtools	4.0.49-1
multipath-tools	0.14.3-2ubuntu1
nano	8.7.1-1ubuntu0.1
nasm	3.01-1
native-architecture	0.2.6build1
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
ncurses-term	6.6+20251231-1
needrestart	3.11-1ubuntu2
net-tools	2.10-2ubuntu1
netbase	6.5build1
netcat-openbsd	1.234-1
netpbm	2:11.10.02-1build1
netplan-generator	1.2-1ubuntu5
netplan.io	1.2-1ubuntu5
network-manager	1.54.3-2ubuntu3
networkd-dispatcher	2.2.4-1.1ubuntu1
ninja-build	1.13.2-1
nvidia-compute-utils-595	595.84-0ubuntu0.26.04.1
nvidia-dkms-595-open	595.84-0ubuntu0.26.04.1
nvidia-driver-595-open	595.84-0ubuntu0.26.04.1
nvidia-firmware-595-595.84	595.84-0ubuntu0.26.04.1
nvidia-kernel-common-595	595.84-0ubuntu0.26.04.1
nvidia-kernel-source-595-open	595.84-0ubuntu0.26.04.1
nvidia-prime	0.8.17.2build1
nvidia-settings	510.47.03-0ubuntu7
nvidia-utils-595	595.84-0ubuntu0.26.04.1
nvtop	3.2.0-2
obconf	1:2.0.4+git20150213-3build4
ocl-icd-libopencl1:amd64	2.3.4-1
open-iscsi	2.1.11-3ubuntu3
openbox	3.6.1-12ubuntu3
openssh-client	1:10.2p1-2ubuntu3.5
openssh-server	1:10.2p1-2ubuntu3.5
openssh-sftp-server	1:10.2p1-2ubuntu3.5
openssl	3.5.5-1ubuntu3.3
openssl-provider-legacy	3.5.5-1ubuntu3.3
os-prober	1.84ubuntu1
packagekit	1.3.4-3ubuntu1.1
parted	3.6-6
passwd	1:4.17.4-2ubuntu3
patch	2.8-2build1
pavucontrol	6.1-1build1
pci.ids	0.0~2026.02.12-1
pciutils	1:3.14.0-1build2
perl	5.40.1-7ubuntu0.1
perl-base	5.40.1-7ubuntu0.1
perl-modules-5.40	5.40.1-7ubuntu0.1
perl-openssl-defaults:amd64	7build4
picocom	3.1-4build1
pinentry-curses	1.3.2-3ubuntu1
pipewire:amd64	1.6.2-1ubuntu1.1
pipewire-alsa:amd64	1.6.2-1ubuntu1.1
pipewire-audio	1.6.2-1ubuntu1.1
pipewire-bin	1.6.2-1ubuntu1.1
pipewire-pulse	1.6.2-1ubuntu1.1
pkexec	127-2ubuntu1
pkg-config:amd64	2.5.1-4
pkgconf:amd64	2.5.1-4
pkgconf-bin	2.5.1-4
plymouth	24.004.60+git20250831.4a3c171d-0ubuntu8
plymouth-label	24.004.60+git20250831.4a3c171d-0ubuntu8
plymouth-theme-spinner	24.004.60+git20250831.4a3c171d-0ubuntu8
plymouth-themes	24.004.60+git20250831.4a3c171d-0ubuntu8
pnp.ids	0.394-1build1
polkitd	127-2ubuntu1
pollinate	4.33-4ubuntu6
poppler-data	0.4.12-1build1
procps	2:4.0.4-9ubuntu1
psmisc	23.7-2ubuntu2
publicsuffix	20260129.1928-1
pulseaudio-utils	1:17.0+dfsg1-2ubuntu4
python-apt-common	3.1.0ubuntu1
python-babel-localedata	2.17.0-2
python3	3.14.3-0ubuntu2
python3-apport	2.34.0-0ubuntu2
python3-apt	3.1.0ubuntu1
python3-asgiref	3.11.0-1
python3-attr	25.4.0-1build1
python3-autocommand	2.2.2-4
python3-babel	2.17.0-2
python3-bcrypt	5.0.0-3build1
python3-blinker	1.9.0-2build1
python3-bpfcc	0.35.0+ds-1ubuntu2
python3-certifi	2026.1.4+ds-1
python3-cffi-backend:amd64	2.0.0-3build1
python3-chardet	5.2.0+dfsg-2build1
python3-click	8.2.0+0.really.8.1.8-1build1
python3-configobj	5.0.9-1build1
python3-cryptography	46.0.5-1ubuntu2
python3-dbus	1.4.0-1build2
python3-debconf	1.5.92
python3-dev	3.14.3-0ubuntu2
python3-distro	1.9.0-1build1
python3-distro-info	1.15
python3-distupgrade	1:26.04.22
python3-flask	3.1.3-1ubuntu1
python3-gi	3.56.2-1
python3-httplib2	0.22.0-1ubuntu0.1
python3-idna	3.11-1ubuntu0.1
python3-inflect	7.5.0-1build1
python3-itsdangerous	2.2.0-2build1
python3-jaraco.context	6.0.1-2
python3-jaraco.functools	4.1.0-1build1
python3-jaraco.text	4.0.0-1build1
python3-jinja2	3.1.6-1build1
python3-json-pointer	2.4-4
python3-jsonpatch	1.32-6
python3-jsonschema	4.19.2-6ubuntu2
python3-jsonschema-specifications	2023.12.1-4
python3-jwt	2.10.1-4ubuntu1
python3-launchpadlib	2.1.0-1build1
python3-lazr.restfulclient	0.14.6-3build1
python3-lazr.uri	1.0.6-7build1
python3-ldb	2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
python3-linkify-it	2.0.3-1ubuntu3
python3-markdown-it	3.0.0-3build1
python3-markupsafe	3.0.3-1build1
python3-mdurl	0.1.2-1build1
python3-minimal	3.14.3-0ubuntu2
python3-more-itertools	10.8.0-1build1
python3-netaddr	1.3.0-1build1
python3-netplan	1.2-1ubuntu5
python3-numpy	1:2.3.5+ds-3ubuntu1
python3-numpy-dev:amd64	1:2.3.5+ds-3ubuntu1
python3-oauthlib	3.3.1-1build1
python3-openssl	25.3.0-1ubuntu1
python3-packaging	26.0-1
python3-passlib	1.9.3-1ubuntu1
python3-pip	25.1.1+dfsg-1ubuntu2
python3-pip-whl	25.1.1+dfsg-1ubuntu2
python3-pkg-resources	78.1.1-0.1build1
python3-problem-report	2.34.0-0ubuntu2
python3-psutil	7.1.0-1ubuntu1
python3-pyasyncore	1.0.2-3build1
python3-pygame	2.6.1-4build1
python3-pygments	2.19.2+dfsg-1
python3-pyinotify	0.9.6-5build1
python3-pyparsing	3.3.2-2
python3-referencing	0.36.2-1ubuntu2
python3-requests	2.32.5+dfsg-1ubuntu1
python3-rich	13.9.4-1.2
python3-rpds-py	0.27.1-2ubuntu3
python3-samba	2:4.23.6+dfsg-1ubuntu2.2
python3-serial	3.5-2build1
python3-setuptools	78.1.1-0.1build1
python3-setuptools-whl	78.1.1-0.1build1
python3-software-properties	0.120
python3-systemd	235-1build9
python3-talloc:amd64	2:2.4.3+samba4.23.6+dfsg-1ubuntu2.2
python3-tdb	2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
python3-typeguard	4.4.4-2
python3-typing-extensions	4.15.0-2
python3-uc-micro	1.0.3-1build1
python3-update-manager	1:26.04.5
python3-urllib3	2.6.3-1ubuntu1.1
python3-usb	1.2.1-2
python3-venv	3.14.3-0ubuntu2
python3-wadllib	2.0.0-3
python3-werkzeug	3.1.5-1
python3-wheel	0.46.3-2
python3-xkit	0.5.0ubuntu8
python3-yaml	6.0.3-1build1
python3-zipp	3.23.0-1build1
python3.14	3.14.4-1ubuntu0.1
python3.14-dev	3.14.4-1ubuntu0.1
python3.14-minimal	3.14.4-1ubuntu0.1
python3.14-venv	3.14.4-1ubuntu0.1
qpwgraph	0.9.9-1
qt6-gtk-platformtheme:amd64	6.10.2+dfsg-7
qt6-qpa-plugins:amd64	6.10.2+dfsg-7
qt6-svg-plugins:amd64	6.10.2-2
qt6-translations-l10n	6.10.2-1
qt6-wayland:amd64	6.10.2-4
readline-common	8.3-4
rfkill	2.41.3-3ubuntu2
rpcsvc-proto	1.4.3-1build1
rsync	3.4.1+ds1-7ubuntu0.3
rtkit	0.14-1
rust-coreutils	0.8.0-0ubuntu3
samba-common	2:4.23.6+dfsg-1ubuntu2.2
samba-common-bin	2:4.23.6+dfsg-1ubuntu2.2
samba-libs:amd64	2:4.23.6+dfsg-1ubuntu2.2
sbsigntool	0.9.4-3.1ubuntu9
screen	4.9.1-3ubuntu2
screen-resolution-extra	0.18.5build1
secureboot-db	1.9build2
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
setserial	2.17-58build1
sg3-utils	1.48-3ubuntu3.1
sg3-utils-udev	1.48-3ubuntu3.1
sgml-base	1.31+nmu1build1
shared-mime-info	2.4-5build3
shim-signed	1.59+15.8-0ubuntu2
smbclient	2:4.23.6+dfsg-1ubuntu2.2
software-properties-common	0.120
sound-theme-freedesktop	0.8-7build1
squashfs-tools	1:4.7.5-1
ssh-import-id	5.11-0ubuntu4
sshpass	1.10-0.1build1
strace	6.19+ds-0ubuntu5
sudo	1.9.17p2-1ubuntu3
sudo-common	1.2ubuntu
sudo-rs	0.2.13-0ubuntu1
sysstat	12.7.7-0ubuntu2
systemd	259.5-0ubuntu3.4
systemd-cryptsetup	259.5-0ubuntu3.4
systemd-hwe-hwdb	259.5.3ubuntu
systemd-resolved	259.5-0ubuntu3.4
systemd-sysv	259.5-0ubuntu3.4
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4
tdb-tools	2:1.4.14+samba4.23.6+dfsg-1ubuntu2.2
thermald	2.5.11-0ubuntu1
thin-provisioning-tools	1.1.0-4ubuntu2
timgm6mb-soundfont	1.3-5build1
tint2	17.0.1-1.2build1
traceroute	1:2.1.6-1build1
ttyd	1.7.7-4build1
tzdata	2026c-0ubuntu0.26.04.1
ubuntu-drivers-common	1:0.10.9
ubuntu-kernel-accessories	1.570.1
ubuntu-keyring	2023.11.28.1build1
ubuntu-release-upgrader-core	1:26.04.22
ucf	3.0052ubuntu1
udev	259.5-0ubuntu3.4
uhubctl	2.6.0-3
unattended-upgrades	2.12ubuntu9
unclutter	8-26build1
unclutter-startup	8-26build1
unminimize	0.5build1
unzip	6.0-29ubuntu1
upower	1.91.1-1
usb.ids	2025.12.13-1
usbmuxd	1.1.1-7
usbutils	1:019-1
user-session-migration	0.5.1
util-linux	2.41.3-3ubuntu2
uuid-dev:amd64	2.41.3-3ubuntu2
vim	2:9.1.2141-1ubuntu4.7
vim-common	2:9.1.2141-1ubuntu4.7
vim-runtime	2:9.1.2141-1ubuntu4.7
vulkan-tools	1.4.341.0+dfsg1-1
wayland-protocols	1.47-1
